t 1 2 3 4 5 jL0400 6 7 8 jE0201 jH0801 jyH0801 jVX jV0600 
0.18 0 2.26283 -7.53674e-016 0.915173 2.26283 1.28508 1 0 -0.612799 -2.26283 0 2.26283 -0.612799 -0.672286 
0.19 0 2.25986 -7.52686e-016 0.909415 2.25986 1.29418 1 0 -0.626331 -2.25986 0 2.25986 -0.626331 -0.667848 
0.2 0 2.25722 -7.51806e-016 0.903583 2.25722 1.30321 1 0 -0.638177 -2.25722 0 2.25722 -0.638177 -0.665037 
0.21 0 2.25486 -7.51019e-016 0.89768 2.25486 1.31219 1 0 -0.64863 -2.25486 0 2.25486 -0.64863 -0.663562 
0.22 0 2.25273 -7.5031e-016 0.891708 2.25273 1.32111 1 0 -0.657925 -2.25273 0 2.25273 -0.657925 -0.663183 
0.23 0 2.2508 -7.49666e-016 0.88567 2.2508 1.32997 1 0 -0.666254 -2.2508 0 2.2508 -0.666254 -0.663711 
0.24 0 2.24903 -7.49079e-016 0.879567 2.24903 1.33876 1 0 -0.673777 -2.24903 0 2.24903 -0.673777 -0.664984 
0.25 0 2.24741 -7.48539e-016 0.8734 2.24741 1.34749 1 0 -0.680621 -2.24741 0 2.24741 -0.680621 -0.666873 
0.26 0 2.24591 -7.4804e-016 0.867172 2.24591 1.35617 1 0 -0.686895 -2.24591 0 2.24591 -0.686895 -0.669271 
0.27 0 2.24452 -7.47575e-016 0.860884 2.24452 1.36478 1 0 -0.692689 -2.24452 0 2.24452 -0.692689 -0.672087 
0.28 0 2.24321 -7.47139e-016 0.854538 2.24321 1.37332 1 -2.77556e-017 -0.698075 -2.24321 0 2.24321 -0.698075 -0.675245 
0.29 0 2.24197 -7.46727e-016 0.848134 2.24197 1.3818 1 -2.77556e-017 -0.703119 -2.24197 0 2.24197 -0.703119 -0.678683 
0.3 0 2.2408 -7.46337e-016 0.841674 2.2408 1.39022 1 0 -0.707872 -2.2408 0 2.2408 -0.707872 -0.682347 
0.31 0 2.23968 -7.45964e-016 0.835159 2.23968 1.39857 1 0 -0.712379 -2.23968 0 2.23968 -0.712379 -0.686191 
0.32 0 2.23861 -7.45606e-016 0.82859 2.23861 1.40686 1 0 -0.716679 -2.23861 0 2.23861 -0.716679 -0.690178 
0.33 0 2.23757 -7.4526e-016 0.821969 2.23757 1.41508 1 0 -0.720804 -2.23757 0 2.23757 -0.720804 -0.694272 
0.34 0 2.23656 -7.44925e-016 0.815297 2.23656 1.42323 1 0 -0.724779 -2.23656 0 2.23656 -0.724779 -0.69845 
0.35 0 2.23558 -7.44598e-016 0.808574 2.23558 1.43131 1 0 -0.72863 -2.23558 0 2.23558 -0.72863 -0.702684 
0.36 0 2.23462 -7.44278e-016 0.801802 2.23462 1.43933 1 0 -0.732376 -2.23462 0 2.23462 -0.732376 -0.706956 
0.37 0 2.23368 -7.43964e-016 0.794982 2.23368 1.44728 1 0 -0.736034 -2.23368 0 2.23368 -0.736034 -0.711249 
0.38 0 2.23275 -7.43655e-016 0.788115 2.23275 1.45516 1 0 -0.739617 -2.23275 0 2.23275 -0.739617 -0.715546 
0.39 0 2.23183 -7.43349e-016 0.781201 2.23183 1.46298 1 0 -0.743139 -2.23183 0 2.23183 -0.743139 -0.719836 
0.4 0 2.23092 -7.43046e-016 0.774242 2.23092 1.47072 1 0 -0.74661 -2.23092 0 2.23092 -0.74661 -0.724108 
0.41 0 2.23002 -7.42744e-016 0.767239 2.23002 1.47839 1 0 -0.750039 -2.23002 0 2.23002 -0.750039 -0.728351 
0.42 0 2.22912 -7.42445e-016 0.760193 2.22912 1.48599 1 0 -0.753434 -2.22912 0 2.22912 -0.753434 -0.732559 
0.43 0 2.22822 -7.42146e-016 0.753104 2.22822 1.49352 1 0 -0.7568 -2.22822 0 2.22822 -0.7568 -0.736723 
0.44 0 2.22732 -7.41847e-016 0.745973 2.22732 1.50098 1 0 -0.760145 -2.22732 0 2.22732 -0.760145 -0.740839 
0.45 0 2.22642 -7.41548e-016 0.738803 2.22642 1.50837 1 0 -0.763471 -2.22642 0 2.22642 -0.763471 -0.7449 
0.46 0 2.22552 -7.41249e-016 0.731592 2.22552 1.51569 1 0 -0.766785 -2.22552 0 2.22552 -0.766785 -0.748903 
0.47 0 2.22462 -7.40948e-016 0.724343 2.22462 1.52293 1 0 -0.770088 -2.22462 0 2.22462 -0.770088 -0.752843 
0.48 0 2.22372 -7.40647e-016 0.717056 2.22372 1.5301 1 0 -0.773384 -2.22372 0 2.22372 -0.773384 -0.756717 
0.49 0 2.22281 -7.40345e-016 0.709732 2.22281 1.5372 1 0 -0.776675 -2.22281 0 2.22281 -0.776675 -0.760523 
0.5 0 2.2219 -7.40041e-016 0.702373 2.2219 1.54422 1 0 -0.779964 -2.2219 0 2.2219 -0.779964 -0.764258 
0.51 0 2.22098 -7.39735e-016 0.694978 2.22098 1.55117 1 0 -0.783252 -2.22098 0 2.22098 -0.783252 -0.76792 
0.52 0 2.22006 -7.39428e-016 0.687549 2.22006 1.55805 1 0 -0.78654 -2.22006 0 2.22006 -0.78654 -0.771507 
0.53 0 2.21913 -7.39118e-016 0.680087 2.21913 1.56485 1 0 -0.78983 -2.21913 0 2.21913 -0.78983 -0.775018 
0.54 0 2.21819 -7.38806e-016 0.672593 2.21819 1.57157 1 0 -0.793123 -2.21819 0 2.21819 -0.793123 -0.778452 
0.55 0 2.21725 -7.38493e-016 0.665067 2.21725 1.57822 1 0 -0.796419 -2.21725 0 2.21725 -0.796419 -0.781806 
0.56 0 2.2163 -7.38176e-016 0.65751 2.2163 1.5848 1 0 -0.799719 -2.2163 0 2.2163 -0.799719 -0.785081 
0.57 0 2.21534 -7.37858e-016 0.649924 2.21534 1.5913 1 0 -0.803023 -2.21534 0 2.21534 -0.803023 -0.788276 
0.58 0 2.21438 -7.37537e-016 0.642309 2.21438 1.59772 1 0 -0.806333 -2.21438 0 2.21438 -0.806333 -0.79139 
0.59 0 2.21341 -7.37213e-016 0.634666 2.21341 1.60407 1 0 -0.809647 -2.21341 0 2.21341 -0.809647 -0.794422 
0.6 0 2.21243 -7.36887e-016 0.626995 2.21243 1.61034 1 0 -0.812967 -2.21243 0 2.21243 -0.812967 -0.797372 
0.61 0 2.21144 -7.36559e-016 0.619299 2.21144 1.61653 1 0 -0.816291 -2.21144 0 2.21144 -0.816291 -0.80024 
0.62 0 2.21045 -7.36227e-016 0.611577 2.21045 1.62265 1 0 -0.819622 -2.21045 0 2.21045 -0.819622 -0.803026 
0.63 0 2.20945 -7.35893e-016 0.603831 2.20945 1.62869 1 0 -0.822957 -2.20945 0 2.20945 -0.822957 -0.805729 
0.64 0 2.20843 -7.35556e-016 0.596061 2.20843 1.63465 1 0 -0.826297 -2.20843 0 2.20843 -0.826297 -0.808349 
0.65 0 2.20741 -7.35217e-016 0.588268 2.20741 1.64053 1 0 -0.829642 -2.20741 0 2.20741 -0.829642 -0.810887 
0.66 0 2.20639 -7.34874e-016 0.580453 2.20639 1.64633 1 0 -0.832992 -2.20639 0 2.20639 -0.832992 -0.813342 
0.67 0 2.20535 -7.34529e-016 0.572617 2.20535 1.65206 1 0 -0.836347 -2.20535 0 2.20535 -0.836347 -0.815713 
0.68 0 2.20431 -7.34181e-016 0.564761 2.20431 1.65771 1 0 -0.839705 -2.20431 0 2.20431 -0.839705 -0.818002 
0.69 0 2.20325 -7.3383e-016 0.556886 2.20325 1.66328 1 0 -0.843068 -2.20325 0 2.20325 -0.843068 -0.820209 
0.7 0 2.20219 -7.33477e-016 0.548992 2.20219 1.66877 1 0 -0.846434 -2.20219 0 2.20219 -0.846434 -0.822333 
0.71 0 2.20112 -7.3312e-016 0.54108 2.20112 1.67418 1 0 -0.849803 -2.20112 0 2.20112 -0.849803 -0.824374 
0.72 0 2.20004 -7.3276e-016 0.533151 2.20004 1.67951 1 0 -0.853175 -2.20004 0 2.20004 -0.853175 -0.826334 
0.73 0 2.19895 -7.32398e-016 0.525207 2.19895 1.68476 1 0 -0.856549 -2.19895 0 2.19895 -0.856549 -0.828211 
0.74 0 2.19785 -7.32032e-016 0.517247 2.19785 1.68993 1 0 -0.859926 -2.19785 0 2.19785 -0.859926 -0.830007 
0.75 0 2.19675 -7.31664e-016 0.509272 2.19675 1.69503 1 0 -0.863305 -2.19675 0 2.19675 -0.863305 -0.831721 
0.76 0 2.19563 -7.31293e-016 0.501284 2.19563 1.70004 1 0 -0.866684 -2.19563 0 2.19563 -0.866684 -0.833354 
0.77 0 2.19451 -7.30918e-016 0.493284 2.19451 1.70497 1 0 -0.870065 -2.19451 0 2.19451 -0.870065 -0.834906 
0.78 0 2.19338 -7.30541e-016 0.485271 2.19338 1.70982 1 0 -0.873446 -2.19338 0 2.19338 -0.873446 -0.836378 
0.79 0 2.19223 -7.30161e-016 0.477248 2.19223 1.7146 1 0 -0.876828 -2.19223 0 2.19223 -0.876828 -0.837769 
0.8 0 2.19108 -7.29777e-016 0.469213 2.19108 1.71929 1 0 -0.880209 -2.19108 0 2.19108 -0.880209 -0.83908 
0.81 0 2.18992 -7.29391e-016 0.46117 2.18992 1.7239 1 0 -0.883589 -2.18992 0 2.18992 -0.883589 -0.840312 
0.82 0 2.18875 -7.29001e-016 0.453118 2.18875 1.72843 1 0 -0.886968 -2.18875 0 2.18875 -0.886968 -0.841464 
0.83 0 2.18758 -7.28609e-016 0.445058 2.18758 1.73288 1 0 -0.890346 -2.18758 0 2.18758 -0.890346 -0.842537 
0.84 0 2.18639 -7.28214e-016 0.43699 2.18639 1.73725 1 0 -0.893721 -2.18639 0 2.18639 -0.893721 -0.843531 
0.85 0 2.18519 -7.27815e-016 0.428917 2.18519 1.74154 1 0 -0.897094 -2.18519 0 2.18519 -0.897094 -0.844447 
0.86 0 2.18399 -7.27413e-016 0.420838 2.18399 1.74575 1 0 -0.900463 -2.18399 0 2.18399 -0.900463 -0.845286 
0.87 0 2.18277 -7.27009e-016 0.412754 2.18277 1.74988 1 0 -0.90383 -2.18277 0 2.18277 -0.90383 -0.846047 
0.88 0 2.18155 -7.26601e-016 0.404666 2.18155 1.75392 1 0 -0.907193 -2.18155 0 2.18155 -0.907193 -0.846732 
0.89 0 2.18031 -7.2619e-016 0.396575 2.18031 1.75789 1 0 -0.910551 -2.18031 0 2.18031 -0.910551 -0.847339 
0.9 0 2.17907 -7.25776e-016 0.388482 2.17907 1.76177 1 0 -0.913905 -2.17907 0 2.17907 -0.913905 -0.84787 
0.91 0 2.17782 -7.25359e-016 0.380387 2.17782 1.76558 1 0 -0.917253 -2.17782 0 2.17782 -0.917253 -0.848326 
0.92 0 2.17656 -7.24938e-016 0.372291 2.17656 1.7693 1 0 -0.920595 -2.17656 0 2.17656 -0.920595 -0.848706 
0.93 0 2.17528 -7.24515e-016 0.364195 2.17528 1.77294 1 0 -0.923932 -2.17528 0 2.17528 -0.923932 -0.849012 
0.94 0 2.174 -7.24088e-016 0.3561 2.174 1.7765 1 0 -0.927262 -2.174 0 2.174 -0.927262 -0.849243 
0.95 0 2.17271 -7.23659e-016 0.348006 2.17271 1.77998 1 0 -0.930585 -2.17271 0 2.17271 -0.930585 -0.8494 
0.96 0 2.17141 -7.23226e-016 0.339914 2.17141 1.78338 1 0 -0.9339 -2.17141 0 2.17141 -0.9339 -0.849483 
0.97 0 2.1701 -7.22789e-016 0.331825 2.1701 1.7867 1 0 -0.937208 -2.1701 0 2.1701 -0.937208 -0.849494 
0.98 0 2.16878 -7.2235e-016 0.32374 2.16878 1.78994 1 0 -0.940507 -2.16878 0 2.16878 -0.940507 -0.849432 
0.99 0 2.16745 -7.21907e-016 0.315659 2.16745 1.7931 1 0 -0.943797 -2.16745 0 2.16745 -0.943797 -0.849299 
1 0 2.16612 -7.21461e-016 0.307583 2.16612 1.79617 1 0 -0.947078 -2.16612 0 2.16612 -0.947078 -0.849093 
1.01 0 2.16477 -7.21012e-016 0.299513 2.16477 1.79917 1 0 -0.95035 -2.16477 0 2.16477 -0.95035 -0.848817 
1.02 0 2.16341 -7.2056e-016 0.291449 2.16341 1.80208 1 0 -0.953611 -2.16341 0 2.16341 -0.953611 -0.84847 
1.03 0 2.16204 -7.20104e-016 0.283393 2.16204 1.80492 1 0 -0.956861 -2.16204 0 2.16204 -0.956861 -0.848054 
1.04 0 2.16066 -7.19645e-016 0.275344 2.16066 1.80767 1 0 -0.960101 -2.16066 0 2.16066 -0.960101 -0.847568 
1.05 0 2.15927 -7.19183e-016 0.267305 2.15927 1.81034 1 0 -0.963329 -2.15927 0 2.15927 -0.963329 -0.847013 
1.06 0 2.15788 -7.18717e-016 0.259274 2.15788 1.81293 1 0 -0.966545 -2.15788 0 2.15788 -0.966545 -0.846389 
1.07 0 2.15647 -7.18248e-016 0.251254 2.15647 1.81545 1 0 -0.969749 -2.15647 0 2.15647 -0.969749 -0.845698 
1.08 0 2.15505 -7.17775e-016 0.243244 2.15505 1.81788 1 0 -0.972939 -2.15505 0 2.15505 -0.972939 -0.84494 
1.09 0 2.15362 -7.17299e-016 0.235246 2.15362 1.82023 1 0 -0.976117 -2.15362 0 2.15362 -0.976117 -0.844115 
1.1 0 2.15218 -7.1682e-016 0.22726 2.15218 1.8225 1 0 -0.97928 -2.15218 0 2.15218 -0.97928 -0.843224 
1.11 0 2.15073 -7.16337e-016 0.219287 2.15073 1.8247 1 0 -0.98243 -2.15073 0 2.15073 -0.98243 -0.842267 
1.12 0 2.14927 -7.15851e-016 0.211327 2.14927 1.82681 1 0 -0.985565 -2.14927 0 2.14927 -0.985565 -0.841246 
1.13 0 2.1478 -7.15361e-016 0.203381 2.1478 1.82884 1 0 -0.988684 -2.1478 0 2.1478 -0.988684 -0.84016 
1.14 0 2.14632 -7.14868e-016 0.19545 2.14632 1.8308 1 0 -0.991789 -2.14632 0 2.14632 -0.991789 -0.83901 
1.15 0 2.14483 -7.14371e-016 0.187534 2.14483 1.83267 1 0 -0.994877 -2.14483 0 2.14483 -0.994877 -0.837798 
1.16 0 2.14333 -7.13871e-016 0.179635 2.14333 1.83447 1 0 -0.997948 -2.14333 0 2.14333 -0.997948 -0.836522 
1.17 0 2.14181 -7.13367e-016 0.171752 2.14181 1.83619 1 0 -1.001 -2.14181 0 2.14181 -1.001 -0.835185 
1.18 0 2.14029 -7.12859e-016 0.163886 2.14029 1.83783 1 0 -1.00404 -2.14029 0 2.14029 -1.00404 -0.833786 
1.19 0 2.13875 -7.12348e-016 0.156039 2.13875 1.83939 1 0 -1.00706 -2.13875 0 2.13875 -1.00706 -0.832327 
1.2 0 2.13721 -7.11833e-016 0.14821 2.13721 1.84087 1 0 -1.01006 -2.13721 0 2.13721 -1.01006 -0.830808 
1.21 0 2.13565 -7.11315e-016 0.1404 2.13565 1.84227 1 0 -1.01304 -2.13565 0 2.13565 -1.01304 -0.829229 
1.22 0 2.13408 -7.10793e-016 0.132611 2.13408 1.8436 1 0 -1.01601 -2.13408 0 2.13408 -1.01601 -0.827592 
1.23 0 2.1325 -7.10267e-016 0.124841 2.1325 1.84485 1 0 -1.01895 -2.1325 0 2.1325 -1.01895 -0.825896 
1.24 0 2.13091 -7.09737e-016 0.117093 2.13091 1.84602 1 0 -1.02188 -2.13091 0 2.13091 -1.02188 -0.824143 
1.25 0 2.12931 -7.09203e-016 0.109366 2.12931 1.84711 1 0 -1.02478 -2.12931 0 2.12931 -1.02478 -0.822333 
1.26 0 2.1277 -7.08666e-016 0.101661 2.1277 1.84813 1 0 -1.02766 -2.1277 0 2.1277 -1.02766 -0.820468 
1.27 0 2.12607 -7.08125e-016 0.0939798 2.12607 1.84907 1 0 -1.03052 -2.12607 0 2.12607 -1.03052 -0.818546 
1.28 0 2.12444 -7.0758e-016 0.0863215 2.12444 1.84993 1 0 -1.03336 -2.12444 0 2.12444 -1.03336 -0.81657 
1.29 0 2.12279 -7.0703e-016 0.0786872 2.12279 1.85072 1 0 -1.03618 -2.12279 0 2.12279 -1.03618 -0.81454 
1.3 0 2.12113 -7.06477e-016 0.0710774 2.12113 1.85143 1 0 -1.03897 -2.12113 0 2.12113 -1.03897 -0.812457 
1.31 0 2.11945 -7.0592e-016 0.0634928 2.11945 1.85206 1 0 -1.04174 -2.11945 0 2.11945 -1.04174 -0.810321 
1.32 0 2.11777 -7.05359e-016 0.0559337 2.11777 1.85262 1 0 -1.04449 -2.11777 0 2.11777 -1.04449 -0.808133 
1.33 0 2.11607 -7.04794e-016 0.0484009 2.11607 1.85311 1 0 -1.04721 -2.11607 0 2.11607 -1.04721 -0.805894 
1.34 0 2.11436 -7.04224e-016 0.0408948 2.11436 1.85352 1 0 -1.04991 -2.11436 0 2.11436 -1.04991 -0.803604 
1.35 0 2.11264 -7.03651e-016 0.033416 2.11264 1.85385 1 0 -1.05259 -2.11264 0 2.11264 -1.05259 -0.801265 
1.36 0 2.11091 -7.03073e-016 0.025965 2.11091 1.85411 1 0 -1.05523 -2.11091 0 2.11091 -1.05523 -0.798877 
1.37 0 2.10916 -7.02491e-016 0.0185424 2.10916 1.8543 1 0 -1.05786 -2.10916 0 2.10916 -1.05786 -0.79644 
1.38 0 2.1074 -7.01905e-016 0.0111485 2.1074 1.85441 1 0 -1.06045 -2.1074 0 2.1074 -1.06045 -0.793957 
1.39 0 2.10562 -7.01314e-016 0.00378409 2.10562 1.85445 1 0 -1.06302 -2.10562 0 2.10562 -1.06302 -0.791426 
1.4 0 2.10384 -7.00719e-016 -0.00355049 2.10384 1.85441 1 0 -1.06556 -2.10384 0 2.10384 -1.06556 -0.788849 
1.41 0 2.10204 -7.00119e-016 -0.0108547 2.10204 1.8543 1 0 -1.06807 -2.10204 0 2.10204 -1.06807 -0.786228 
1.42 0 2.10022 -6.99515e-016 -0.0181281 2.10022 1.85412 1 0 -1.07056 -2.10022 0 2.10022 -1.07056 -0.783562 
1.43 0 2.0984 -6.98907e-016 -0.0253701 2.0984 1.85387 1 0 -1.07301 -2.0984 0 2.0984 -1.07301 -0.780853 
1.44 0 2.09656 -6.98293e-016 -0.0325803 2.09656 1.85354 1 0 -1.07544 -2.09656 0 2.09656 -1.07544 -0.7781 
1.45 0 2.0947 -6.97675e-016 -0.0397583 2.0947 1.85314 1 0 -1.07784 -2.0947 0 2.0947 -1.07784 -0.775306 
1.46 0 2.09283 -6.97053e-016 -0.0469034 2.09283 1.85267 1 0 -1.0802 -2.09283 0 2.09283 -1.0802 -0.772471 
1.47 0 2.09095 -6.96425e-016 -0.0540154 2.09095 1.85213 1 0 -1.08254 -2.09095 0 2.09095 -1.08254 -0.769596 
1.48 0 2.08905 -6.95793e-016 -0.0610937 2.08905 1.85152 1 0 -1.08484 -2.08905 0 2.08905 -1.08484 -0.766681 
1.49 0 2.08714 -6.95156e-016 -0.0681379 2.08714 1.85084 1 0 -1.08711 -2.08714 0 2.08714 -1.08711 -0.763728 
1.5 0 2.08521 -6.94514e-016 -0.0751476 2.08521 1.85009 1 0 -1.08935 -2.08521 0 2.08521 -1.08935 -0.760737 
1.51 0 2.08326 -6.93866e-016 -0.0821222 2.08326 1.84927 1 0 -1.09156 -2.08326 0 2.08326 -1.09156 -0.757709 
1.52 0 2.08131 -6.93214e-016 -0.0890615 2.08131 1.84838 1 0 -1.09373 -2.08131 0 2.08131 -1.09373 -0.754646 
1.53 0 2.07933 -6.92556e-016 -0.095965 2.07933 1.84742 1 0 -1.09587 -2.07933 0 2.07933 -1.09587 -0.751547 
1.54 0 2.07734 -6.91894e-016 -0.102832 2.07734 1.84639 1 0 -1.09798 -2.07734 0 2.07734 -1.09798 -0.748414 
1.55 0 2.07534 -6.91225e-016 -0.109663 2.07534 1.84529 1 0 -1.10005 -2.07534 0 2.07534 -1.10005 -0.745249 
1.56 0 2.07331 -6.90552e-016 -0.116456 2.07331 1.84413 1 0 -1.10208 -2.07331 0 2.07331 -1.10208 -0.74205 
1.57 0 2.07127 -6.89873e-016 -0.123213 2.07127 1.8429 1 0 -1.10408 -2.07127 0 2.07127 -1.10408 -0.738821 
1.58 0 2.06922 -6.89188e-016 -0.129931 2.06922 1.8416 1 0 -1.10604 -2.06922 0 2.06922 -1.10604 -0.735561 
1.59 0 2.06715 -6.88498e-016 -0.136611 2.06715 1.84023 1 0 -1.10796 -2.06715 0 2.06715 -1.10796 -0.732272 
1.6 0 2.06506 -6.87802e-016 -0.143253 2.06506 1.8388 1 0 -1.10984 -2.06506 0 2.06506 -1.10984 -0.728955 
1.61 0 2.06295 -6.871e-016 -0.149856 2.06295 1.8373 1 0 -1.11169 -2.06295 0 2.06295 -1.11169 -0.72561 
1.62 0 2.06082 -6.86392e-016 -0.156419 2.06082 1.83574 1 0 -1.1135 -2.06082 0 2.06082 -1.1135 -0.722239 
1.63 0 2.05868 -6.85678e-016 -0.162943 2.05868 1.83411 1 0 -1.11527 -2.05868 0 2.05868 -1.11527 -0.718842 
1.64 0 2.05652 -6.84958e-016 -0.169427 2.05652 1.83241 1 0 -1.11699 -2.05652 0 2.05652 -1.11699 -0.715421 
1.65 0 2.05434 -6.84232e-016 -0.175871 2.05434 1.83065 1 0 -1.11868 -2.05434 0 2.05434 -1.11868 -0.711977 
1.66 0 2.05214 -6.83499e-016 -0.182274 2.05214 1.82883 1 0 -1.12032 -2.05214 0 2.05214 -1.12032 -0.70851 
1.67 0 2.04992 -6.8276e-016 -0.188636 2.04992 1.82694 1 0 -1.12192 -2.04992 0 2.04992 -1.12192 -0.705023 
1.68 0 2.04768 -6.82014e-016 -0.194957 2.04768 1.825 1 0 -1.12348 -2.04768 0 2.04768 -1.12348 -0.701515 
1.69 0 2.04542 -6.81261e-016 -0.201237 2.04542 1.82298 1 0 -1.12499 -2.04542 0 2.04542 -1.12499 -0.697988 
1.7 0 2.04314 -6.80502e-016 -0.207475 2.04314 1.82091 1 0 -1.12646 -2.04314 0 2.04314 -1.12646 -0.694444 
1.71 0 2.04084 -6.79736e-016 -0.21367 2.04084 1.81877 1 0 -1.12789 -2.04084 0 2.04084 -1.12789 -0.690883 
1.72 0 2.03852 -6.78963e-016 -0.219823 2.03852 1.81657 1 0 -1.12927 -2.03852 0 2.03852 -1.12927 -0.687307 
1.73 0 2.03617 -6.78182e-016 -0.225934 2.03617 1.81431 1 0 -1.1306 -2.03617 0 2.03617 -1.1306 -0.683716 
1.74 0 2.03381 -6.77394e-016 -0.232002 2.03381 1.81199 1 0 -1.13188 -2.03381 0 2.03381 -1.13188 -0.680113 
1.75 0 2.03142 -6.76599e-016 -0.238026 2.03142 1.80961 1 0 -1.13312 -2.03142 0 2.03142 -1.13312 -0.676497 
1.76 0 2.02901 -6.75795e-016 -0.244008 2.02901 1.80717 1 0 -1.1343 -2.02901 0 2.02901 -1.1343 -0.672871 
1.77 0 2.02657 -6.74985e-016 -0.249945 2.02657 1.80467 1 0 -1.13544 -2.02657 0 2.02657 -1.13544 -0.669236 
1.78 0 2.02411 -6.74166e-016 -0.255839 2.02411 1.80212 1 0 -1.13652 -2.02411 0 2.02411 -1.13652 -0.665593 
1.79 0 2.02163 -6.73339e-016 -0.261689 2.02163 1.7995 1 0 -1.13756 -2.02163 0 2.02163 -1.13756 -0.661943 
1.8 0 2.01912 -6.72503e-016 -0.267494 2.01912 1.79682 1 2.22045e-016 -1.13854 -2.01912 0 2.01912 -1.13854 -0.658287 
1.81 0 2.01659 -6.71659e-016 -0.273255 2.01659 1.79409 1 0 -1.13946 -2.01659 0 2.01659 -1.13946 -0.654629 
1.82 0 2.01403 -6.70807e-016 -0.278971 2.01403 1.7913 1 -2.22045e-016 -1.14033 -2.01403 0 2.01403 -1.14033 -0.650967 
1.83 0 2.01144 -6.69946e-016 -0.284642 2.01144 1.78846 1 -2.22045e-016 -1.14115 -2.01144 0 2.01144 -1.14115 -0.647306 
1.84 0 2.00883 -6.69075e-016 -0.290269 2.00883 1.78555 1 2.22045e-016 -1.14191 -2.00883 0 2.00883 -1.14191 -0.643643 
1.85 0 2.00619 -6.68195e-016 -0.29585 2.00619 1.78259 1 0 -1.14261 -2.00619 0 2.00619 -1.14261 -0.639983 
1.86 0 2.00352 -6.67306e-016 -0.301385 2.00352 1.77958 1 2.22045e-016 -1.14325 -2.00352 0 2.00352 -1.14325 -0.636328 
1.87 0 2.00082 -6.66407e-016 -0.306876 2.00082 1.77651 1 0 -1.14384 -2.00082 0 2.00082 -1.14384 -0.632676 
1.88 0 1.99809 -6.65498e-016 -0.31232 1.99809 1.77339 1 0 -1.14436 -1.99809 0 1.99809 -1.14436 -0.629032 
1.89 0 1.99533 -6.6458e-016 -0.317719 1.99533 1.77021 1 0 -1.14482 -1.99533 0 1.99533 -1.14482 -0.625396 
1.9 0 1.99254 -6.6365e-016 -0.323071 1.99254 1.76698 1 0 -1.14521 -1.99254 0 1.99254 -1.14521 -0.621769 
1.91 0 1.98972 -6.6271e-016 -0.328378 1.98972 1.7637 1 0 -1.14554 -1.98972 0 1.98972 -1.14554 -0.618155 
1.92 0 1.98687 -6.61759e-016 -0.333639 1.98687 1.76036 1 0 -1.14581 -1.98687 0 1.98687 -1.14581 -0.614554 
1.93 0 1.98398 -6.60797e-016 -0.338853 1.98398 1.75697 1 0 -1.146 -1.98398 0 1.98398 -1.146 -0.610968 
